,Burglary,Public order,Shoplifting,Drugs,Public disorder and weapons,Other crime,Anti-social behaviour,Other theft,Bicycle theft,Violent crime,Robbery,Vehicle crime,Violence and sexual offences,Criminal damage and arson,Theft from the person,Possession of weapons
hampshire,0.196,0.118,0.179,0.073,0.02,0.157,1.2,0.215,0.043,0.121,0.013,0.153,0.322,0.276,0.015,0.01
nottinghamshire,0.147,0.036,0.12,0.05,0.01,0.1,0.675,0.159,0.021,0.077,0.017,0.125,0.238,0.167,0.012,0.008
avon-and-somerset,0.2,0.127,0.179,0.065,0.001,0.135,0.914,0.236,0.036,0.131,0.018,0.175,0.378,0.24,0.017,0.006
bedfordshire,0.088,0.02,0.054,0.018,0.005,0.049,0.415,0.078,0.011,0.04,0.011,0.084,0.115,0.086,0.005,0.003
cambridgeshire,0.096,0.028,0.067,0.032,0.007,0.064,0.454,0.124,0.044,0.043,0.008,0.08,0.142,0.108,0.01,0.004
cheshire,0.097,0.063,0.092,0.033,0.007,0.078,0.66,0.101,0.015,0.044,0.004,0.073,0.171,0.131,0.008,0.003
cleveland,0.087,0.021,0.093,0.026,0.006,0.052,0.748,0.093,0.012,0.043,0.006,0.058,0.13,0.133,0.005,0.003
cumbria,0.036,0.017,0.04,0.02,0.005,0.036,0.336,0.047,0.004,0.031,0.001,0.022,0.09,0.081,0.002,0.002
derbyshire,0.119,0.015,0.089,0.039,0.007,0.079,0.787,0.114,0.011,0.067,0.01,0.098,0.145,0.134,0.007,0.004
devon-and-cornwall,0.122,0.063,0.114,0.064,0.023,0.106,0.825,0.179,0.011,0.117,0.007,0.091,0.327,0.224,0.01,0.007
dorset,0.082,0.014,0.06,0.019,0.005,0.05,0.498,0.102,0.014,0.039,0.004,0.068,0.123,0.099,0.007,0.003
durham,0.073,0.026,0.053,0.019,0.005,0.047,0.491,0.073,0.007,0.029,0.002,0.053,0.139,0.117,0.003,0.003
dyfed-powys,0.025,0.011,0.024,0.04,0.006,0.027,0.333,0.041,0.002,0.022,0.001,0.018,0.077,0.057,0.001,0.002
essex,0.23,0.071,0.147,0.054,0.016,0.121,0.913,0.217,0.027,0.109,0.019,0.217,0.36,0.228,0.018,0.013
gloucestershire,0.082,0.01,0.051,0.018,0.004,0.048,0.425,0.071,0.011,0.023,0.004,0.056,0.079,0.073,0.004,0.002
greater-manchester,0.503,0.225,0.245,0.105,0.033,0.274,2.059,0.41,0.051,0.195,0.073,0.401,0.699,0.509,0.066,0.019
gwent,0.067,0.025,0.053,0.03,0.002,0.047,0.44,0.079,0.005,0.017,0.003,0.061,0.112,0.11,0.003,0.002
south-wales,0.149,0.081,0.135,0.067,0.017,0.112,0.751,0.184,0.024,0.083,0.007,0.157,0.303,0.212,0.015,0.005
south-yorkshire,0.25,0.058,0.165,0.051,0.011,0.125,1.447,0.231,0.015,0.068,0.019,0.206,0.289,0.27,0.021,0.01
staffordshire,0.101,0.032,0.093,0.04,0.009,0.084,0.574,0.134,0.012,0.078,0.01,0.083,0.278,0.163,0.006,0.006
suffolk,0.073,0.034,0.058,0.025,0.01,0.063,0.366,0.083,0.014,0.049,0.005,0.06,0.146,0.106,0.005,0.003
surrey,0.114,0.052,0.062,0.043,0.008,0.086,0.602,0.131,0.013,0.06,0.005,0.088,0.182,0.139,0.004,0.004
sussex,0.146,0.074,0.128,0.06,0.013,0.139,0.93,0.228,0.027,0.096,0.013,0.126,0.315,0.21,0.021,0.01
thames-valley,0.236,0.051,0.222,0.089,0.022,0.173,0.702,0.352,0.064,0.122,0.02,0.228,0.341,0.278,0.039,0.012
warwickshire,0.072,0.013,0.042,0.016,0.003,0.039,0.318,0.077,0.008,0.026,0.005,0.069,0.099,0.068,0.004,0.002
west-mercia,0.135,0.034,0.098,0.041,0.01,0.092,0.847,0.141,0.013,0.075,0.008,0.104,0.256,0.149,0.007,0.006
west-midlands,0.423,0.094,0.26,0.096,0.026,0.235,1.268,0.334,0.038,0.191,0.102,0.453,0.537,0.39,0.034,0.016
west-yorkshire,0.462,0.131,0.236,0.09,0.024,0.244,1.39,0.434,0.028,0.143,0.038,0.383,0.604,0.427,0.048,0.014
wiltshire,0.07,0.021,0.054,0.018,0.004,0.042,0.363,0.076,0.009,0.034,0.003,0.054,0.127,0.091,0.004,0.002
hertfordshire,0.11,0.044,0.097,0.06,0.001,0.096,0.556,0.131,0.016,0.058,0.009,0.11,0.18,0.136,0.013,0.018
humberside,0.166,0.035,0.114,0.03,0.012,0.098,0.361,0.135,0.026,0.074,0.01,0.093,0.216,0.174,0.006,0.004
kent,0.208,0.06,0.167,0.049,0.01,0.14,0.879,0.239,0.021,0.108,0.018,0.175,0.479,0.289,0.012,0.007
lancashire,0.204,0.032,0.127,0.047,0.012,0.12,1.426,0.224,0.023,0.11,0.011,0.152,0.328,0.263,0.013,0.005
leicestershire,0.138,0.029,0.092,0.028,0.012,0.087,0.38,0.141,0.024,0.07,0.012,0.13,0.168,0.144,0.011,0.005
lincolnshire,0.09,0.015,0.069,0.025,0.007,0.058,0.397,0.085,0.014,0.039,0.003,0.054,0.09,0.086,0.003,0.004
merseyside,0.202,0.062,0.145,0.128,0.017,0.123,0.98,0.165,0.023,0.067,0.021,0.156,0.289,0.259,0.022,0.008
metropolitan,1.379,0.462,0.638,0.627,0.122,0.955,4.847,2.014,0.214,0.794,0.491,1.562,2.134,0.925,0.439,0.05
norfolk,0.065,0.038,0.062,0.034,0.005,0.06,0.464,0.089,0.015,0.051,0.004,0.042,0.175,0.112,0.005,0.003
north-wales,0.071,0.018,0.06,0.022,0.008,0.049,0.412,0.076,0.006,0.051,0.003,0.037,0.147,0.111,0.003,0.002
north-yorkshire,0.071,0.015,0.062,0.028,0.006,0.049,0.569,0.086,0.015,0.037,0.003,0.043,0.11,0.09,0.006,0.002
northamptonshire,0.102,0.014,0.07,0.025,0.005,0.067,0.544,0.087,0.01,0.053,0.012,0.087,0.157,0.113,0.007,0.004
northumbria,0.142,0.097,0.163,0.061,0.014,0.117,1.279,0.188,0.023,0.062,0.009,0.105,0.303,0.265,0.013,0.01
