,,Meses (%),,,,,,,,,,,,
,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Tipo de Crimen (%),Burglary,0.662,0.606,0.639,0.594,0.604,0.586,0.594,0.606,0.593,0.64,0.67,0.632,7.426
,Public order,0.143,0.144,0.174,0.174,0.219,0.235,0.254,0.235,0.231,0.241,0.222,0.212,2.484
,Shoplifting,0.378,0.39,0.424,0.409,0.415,0.4,0.402,0.409,0.453,0.477,0.482,0.441,5.08
,Drugs,0.204,0.187,0.208,0.191,0.2,0.194,0.203,0.198,0.221,0.239,0.234,0.225,2.504
,"Public disorder 
And weapons",0.051,0.049,0.055,0.052,0.03,0.028,0.032,0.031,0.057,0.058,0.056,0.05,0.549
,Other crime,0.516,0.514,0.571,0.551,0.567,0.55,0.564,0.552,0.134,0.14,0.138,0.126,4.923
,"Anti-social 
Behaviour",2.535,2.493,2.921,3.026,3.123,3.175,3.546,3.386,2.911,2.991,2.479,2.236,34.822
,Other theft,0.614,0.602,0.681,0.66,0.668,0.67,0.701,0.687,0.792,0.813,0.785,0.731,8.404
,Bicycle theft,0.052,0.05,0.062,0.067,0.093,0.1,0.111,0.11,0.11,0.111,0.09,0.064,1.02
,Violent crime,0.395,0.36,0.408,0.398,0.289,0.28,0.297,0.287,0.256,0.268,0.255,0.255,3.748
,Robbery,0.089,0.082,0.089,0.083,0.086,0.084,0.087,0.086,0.084,0.092,0.093,0.087,1.042
,Vehicle crime,0.554,0.518,0.562,0.533,0.554,0.533,0.536,0.541,0.555,0.592,0.581,0.533,6.592
,"Violence and 
Sexual offences",0.78,0.748,0.862,0.83,1.052,1.077,1.142,1.061,1.057,1.114,1.08,1.097,11.9
,"Criminal damage
 And arson",0.62,0.597,0.664,0.652,0.667,0.64,0.659,0.66,0.744,0.814,0.782,0.741,8.24
,"Theft from 
The person",0.063,0.062,0.068,0.062,0.083,0.082,0.085,0.086,0.082,0.088,0.095,0.096,0.952
,"Possession 
Of weapons",0.019,0.019,0.022,0.022,0.028,0.028,0.03,0.028,0.028,0.03,0.027,0.026,0.307
,Total,7.675,7.421,8.41,8.304,8.678,8.662,9.243,8.963,8.308,8.708,8.069,7.552,100.0
