Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-04,,West Midlands Police,-1.850519,52.589275,On or near Crown Lane,E01009417,Birmingham 001A,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.849280,52.593346,On or near Russell Bank Road,E01009417,Birmingham 001A,Violent crime,,
,2011-04,,West Midlands Police,-1.849280,52.593346,On or near Russell Bank Road,E01009417,Birmingham 001A,Other crime,,
,2011-04,,West Midlands Police,-1.842882,52.599289,On or near Balmoral Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.843740,52.594588,On or near Clarence Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.840641,52.598270,On or near Badgers Bank Road,E01009418,Birmingham 001B,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.840641,52.598270,On or near Badgers Bank Road,E01009418,Birmingham 001B,Vehicle crime,,
,2011-04,,West Midlands Police,-1.842882,52.599289,On or near Balmoral Road,E01009418,Birmingham 001B,Vehicle crime,,
,2011-04,,West Midlands Police,-1.845780,52.593827,On or near Hook Drive,E01009418,Birmingham 001B,Violent crime,,
,2011-04,,West Midlands Police,-1.852526,52.598213,On or near Wavenham Close,E01009419,Birmingham 001C,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.849895,52.599172,On or near Kesterton Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.849079,52.595980,On or near Blackberry Lane,E01009419,Birmingham 001C,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.848131,52.596904,On or near White Farm Road,E01009419,Birmingham 001C,Burglary,,
,2011-04,,West Midlands Police,-1.849895,52.599172,On or near Kesterton Road,E01009419,Birmingham 001C,Robbery,,
,2011-04,,West Midlands Police,-1.849079,52.595980,On or near Blackberry Lane,E01009419,Birmingham 001C,Vehicle crime,,
,2011-04,,West Midlands Police,-1.849469,52.598668,On or near Harrison Road,E01009419,Birmingham 001C,Other crime,,
,2011-04,,West Midlands Police,-1.843350,52.604701,On or near Shelley Drive,E01009433,Birmingham 001D,Burglary,,
,2011-04,,West Midlands Police,-1.849779,52.602840,On or near Lowercroft Way,E01009433,Birmingham 001D,Burglary,,
,2011-04,,West Midlands Police,-1.845631,52.602637,On or near Station Approach,E01009433,Birmingham 001D,Burglary,,
,2011-04,,West Midlands Police,-1.849779,52.602840,On or near Lowercroft Way,E01009433,Birmingham 001D,Burglary,,
,2011-04,,West Midlands Police,-1.843996,52.597366,On or near Weymouth Drive,E01009433,Birmingham 001D,Other crime,,
,2011-04,,West Midlands Police,-1.837164,52.592476,On or near Butlers Lane,E01009415,Birmingham 002A,Burglary,,
,2011-04,,West Midlands Police,-1.831391,52.596684,On or near Dunton Close,E01009415,Birmingham 002A,Vehicle crime,,
,2011-04,,West Midlands Police,-1.831124,52.593061,On or near Crockford Drive,E01009415,Birmingham 002A,Violent crime,,
,2011-04,,West Midlands Police,-1.845376,52.591201,On or near Four Oaks Common Road,E01009422,Birmingham 002B,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.839117,52.587309,On or near All Saints Drive,E01009422,Birmingham 002B,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.841948,52.587924,On or near Vesey Close,E01009422,Birmingham 002B,Anti-social behaviour,,
,2011-04,,West Midlands Police,-1.835430,52.586486,On or near Belwell Lane,E01009422,Birmingham 002B,Burglary,,
,2011-04,,West Midlands Police,-1.845264,52.589493,On or near Farncote Drive,E01009422,Birmingham 002B,Burglary,,
,2011-04,,West Midlands Police,-1.838282,52.585564,On or near Nursery Lane,E01009422,Birmingham 002B,Vehicle crime,,
