Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-03-01T13:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-01T13:35:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-01T20:45:00+00:00,,,,,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person and Vehicle search,2016-03-01T21:00:00+00:00,,,,,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person and Vehicle search,2016-03-01T21:05:00+00:00,,,,,Female,,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-01T21:05:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-01T21:05:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-02T12:25:00+00:00,,,,,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-02T16:00:00+00:00,,,,,,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-02T16:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-02T16:00:00+00:00,,,,,,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-02T16:00:00+00:00,,,,,,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-02T16:00:00+00:00,,,,,,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-02T16:30:00+00:00,,,,,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-02T22:50:00+00:00,,,,,,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-03T02:35:00+00:00,,,,,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-03T03:15:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-03T14:45:00+00:00,,,,,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-03T19:00:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-03T19:00:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-03T19:30:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-03T19:32:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-03T19:32:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-03T20:00:00+00:00,,,,,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-04T00:00:00+00:00,,,,,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person and Vehicle search,2016-03-04T12:00:00+00:00,,,,,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person and Vehicle search,2016-03-04T12:00:00+00:00,,,,,,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person and Vehicle search,2016-03-04T17:35:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-04T23:55:00+00:00,,,,,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,,
Person search,2016-03-05T00:20:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-05T00:28:00+00:00,,,,,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-05T00:30:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,,,
Person search,2016-03-05T15:15:00+00:00,,,,,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,,
