Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-05-03T12:51:41+00:00,,,52.237773,-0.888839,Male,18-24,,Asian,,,Nothing found - no further action,,
Person search,2016-05-03T13:55:23+00:00,,,52.252309,-0.845480,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T14:32:38+00:00,,,52.261976,-0.810341,Male,18-24,White - White British (W1),White,,,Offender given drugs possession warning,,
Person search,2016-05-04T08:04:22+00:00,,,52.272416,-0.845881,Male,18-24,Asian or Asian British - Pakistani (A2),Asian,,,Nothing found - no further action,,
Person search,2016-05-04T09:43:18+00:00,,,52.237425,-0.940937,Male,10-17,White - White British (W1),White,,,Suspect arrested,,
Person search,2016-05-04T10:06:29+00:00,,,52.235943,-0.890261,Male,25-34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-04T10:22:05+00:00,,,52.235943,-0.890261,Male,25-34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-04T11:55:45+00:00,,,52.234982,-0.897094,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-04T12:06:46+00:00,,,52.242385,-0.901260,Male,10-17,Black or Black British - African (B2),Black,,,Offender cautioned,,
Person search,2016-05-04T12:26:05+00:00,,,52.241873,-0.895517,Male,25-34,White - White British (W1),White,,,Offender cautioned,,
Person search,2016-05-04T12:28:50+00:00,,,52.241873,-0.895517,Male,25-34,Mixed - White and Black Caribbean (M1),Black,,,Offender cautioned,,
Person search,2016-05-04T12:44:40+00:00,,,52.286673,-0.618649,Female,25-34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-04T13:43:05+00:00,,,52.272416,-0.845881,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,,,Offender given drugs possession warning,,
Person search,2016-05-05T07:34:21+00:00,,,52.252325,-0.898056,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-05T08:27:17+00:00,,,52.221322,-0.876733,Male,10-17,Mixed - Any other Mixed ethnic background (M9),Black,,,Nothing found - no further action,,
Person search,2016-05-05T08:43:47+00:00,,,52.227283,-0.890989,Male,25-34,White - White British (W1),White,,,Offender cautioned,,
Person search,2016-05-05T09:02:26+00:00,,,52.246643,-0.899954,Male,18-24,White - White British (W1),White,,,Suspect arrested,,
Person search,2016-05-05T09:04:29+00:00,,,52.237773,-0.888839,Male,18-24,,Asian,,,Nothing found - no further action,,
Person search,2016-05-05T09:21:37+00:00,,,52.246643,-0.899954,Male,18-24,Mixed - White and Black Caribbean (M1),Black,,,Suspect arrested,,
Person search,2016-05-05T09:27:33+00:00,,,52.246643,-0.899954,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,,Suspect arrested,,
Person search,2016-05-05T09:31:37+00:00,,,,,Male,10-17,,,,,Nothing found - no further action,,
Person search,2016-05-05T09:57:42+00:00,,,52.246185,-0.898105,Male,18-24,Mixed - Any other Mixed ethnic background (M9),White,,,Offender cautioned,,
Person search,2016-05-05T10:10:44+00:00,,,52.246643,-0.899954,Male,18-24,,Black,,,Offender cautioned,,
Person search,2016-05-05T10:40:50+00:00,,,52.221322,-0.876733,Male,18-24,White - White British (W1),White,,,Offender given drugs possession warning,,
