Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-05-01T00:22:00+00:00,False,,51.333141,-0.268164,Male,25-34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-01T15:45:00+00:00,False,,51.231320,-0.578092,Male,18-24,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,
Person search,2016-05-01T19:23:00+00:00,False,,51.434424,-0.505373,Male,25-34,Not Stated (NS),White,,,Nothing found - no further action,,
Person search,2016-05-01T20:45:00+00:00,False,,51.428006,-0.451482,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-01T20:52:00+00:00,False,,51.428006,-0.451482,Male,10-17,White - Any other White ethnic background (W9),White,,,Nothing found - no further action,,
Person search,2016-05-01T20:56:00+00:00,False,,51.428006,-0.451482,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-02T00:07:00+00:00,False,,51.323287,-0.760314,Male,over 34,White - Any other White ethnic background (W9),White,,,Nothing found - no further action,,
Person search,2016-05-02T12:20:00+00:00,False,,,,Male,,Not Stated (NS),Black,,Offensive weapons,Nothing found - no further action,,
Person search,2016-05-02T18:30:00+00:00,False,,51.233094,-0.331669,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-02T18:30:00+00:00,False,,51.233536,-0.333085,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-02T21:00:00+00:00,False,,,,Male,25-34,White - Any other White ethnic background (W9),White,,Controlled drugs,Suspect arrested,True,
Person search,2016-05-02T22:14:00+00:00,True,,51.172845,-0.120736,Male,18-24,White - White British (W1),White,,,Offender given drugs possession warning,True,
Person search,2016-05-02T22:55:00+00:00,False,,51.381255,-0.316544,Male,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-02T23:23:00+00:00,False,,51.343589,-0.268690,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-02T23:26:00+00:00,False,,51.343589,-0.268690,Male,10-17,Not Stated (NS),Asian,,,Nothing found - no further action,,
Person search,2016-05-03T00:36:00+00:00,False,,51.338817,-0.525196,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,,,Nothing found - no further action,,
Person search,2016-05-03T13:55:00+00:00,False,,51.239495,-0.578170,Female,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T15:28:00+00:00,False,,51.247933,-0.576205,Male,25-34,White - White British (W1),White,,,Suspect arrested,True,
Person search,2016-05-03T16:48:00+00:00,False,,51.213840,-0.172732,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T16:59:00+00:00,False,,51.249306,-0.612671,Female,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T18:15:00+00:00,False,,51.198838,-0.632322,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T18:15:00+00:00,False,,51.198838,-0.632322,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T19:40:00+00:00,False,,51.432725,-0.478109,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T19:40:00+00:00,False,,51.432725,-0.478109,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T19:40:00+00:00,False,,51.432725,-0.478109,Male,,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-03T21:50:00+00:00,False,,51.429976,-0.500699,Male,18-24,White - White British (W1),White,,,Offender given penalty notice,True,
Person search,2016-05-04T01:13:00+00:00,False,,51.247165,-0.574394,Male,18-24,Mixed - White and Black African (M2),Black,,,Nothing found - no further action,,
Person search,2016-05-04T01:19:00+00:00,False,,51.247165,-0.574394,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,,Nothing found - no further action,,
Person search,2016-05-04T01:27:00+00:00,False,,51.247165,-0.574394,Male,18-24,White - White British (W1),White,,,Suspect arrested,False,
Person search,2016-05-04T02:40:00+00:00,False,,51.340039,-0.742534,Male,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-05-04T09:24:00+00:00,False,,,,Male,10-17,White - White British (W1),,,,Nothing found - no further action,,
Person search,2016-05-04T10:07:00+00:00,False,,,,Male,18-24,White - White British (W1),,,,Nothing found - no further action,,
Person search,2016-05-04T10:15:00+00:00,False,,51.232181,-0.576476,Male,10-17,White - White British (W1),,,,Nothing found - no further action,,
Person search,2016-05-04T16:00:00+00:00,False,,51.293893,-0.153692,Male,18-24,White - White British (W1),White,,,Suspect arrested,True,
Person search,2016-05-04T16:16:00+00:00,False,,51.260134,-0.002559,Female,10-17,Mixed - White and Black Caribbean (M1),Black,,,Nothing found - no further action,,
