Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-07-01T09:20:53+00:00,False,,52.661693,1.317239,Male,10-17,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-01T12:15:03+00:00,True,,52.647289,0.689534,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,True,False
Person search,2016-07-01T12:20:34+00:00,True,,52.675891,0.945212,Male,10-17,Mixed - White and Black Caribbean (M1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-01T17:25:01+00:00,False,,52.731258,0.415234,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-01T21:12:44+00:00,False,,52.944943,1.213275,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2016-07-01T21:20:36+00:00,False,,52.944943,1.213275,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2016-07-02T00:15:21+00:00,True,,52.583522,1.727347,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,False,False
Person search,2016-07-02T18:08:42+00:00,False,,52.627146,1.289941,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2016-07-02T19:02:52+00:00,False,,52.755452,0.398937,Male,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-02T19:30:03+00:00,True,,52.634117,1.259348,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,True,False
Person search,2016-07-02T19:37:00+00:00,False,,52.628255,1.287571,Female,,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-02T19:37:54+00:00,False,,52.628255,1.287571,Female,,Not Stated (NS),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-02T22:05:25+00:00,True,,52.630563,1.299303,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect summonsed to court,False,False
Person search,2016-07-02T23:02:52+00:00,False,,52.559572,1.120813,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2016-07-02T23:25:52+00:00,True,,52.628943,1.303216,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-02T23:30:08+00:00,False,,52.628943,1.303216,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-02T23:52:46+00:00,False,,52.628943,1.303216,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-03T00:03:09+00:00,True,,52.628943,1.303216,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-03T00:54:36+00:00,False,,52.629493,1.301557,Male,18-24,Mixed - Any other Mixed ethnic background (M9),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-03T01:00:36+00:00,False,,52.629493,1.301557,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-03T03:30:36+00:00,False,,52.628968,1.302641,Female,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,,False,False
Person search,2016-07-03T13:30:57+00:00,False,,52.754849,0.393627,Female,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-03T22:30:53+00:00,False,,52.601253,1.177380,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2016-07-05T17:00:03+00:00,True,,52.728878,0.427825,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-05T19:15:39+00:00,True,,52.607694,0.200185,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,False,False
Person search,2016-07-06T13:50:51+00:00,False,,52.627146,1.289941,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Suspect arrested,True,False
Person search,2016-07-06T14:45:32+00:00,True,,52.631257,1.280184,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-06T14:45:52+00:00,False,,52.631257,1.280184,Male,,Not Stated (NS),Black,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-06T22:30:34+00:00,False,,52.531228,0.388522,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-06T22:37:14+00:00,False,,52.643068,1.541651,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T01:25:49+00:00,False,,52.627319,1.302458,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T02:20:44+00:00,True,,52.607937,1.736086,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,True,False
Person search,2016-07-07T11:40:04+00:00,False,,52.605739,1.727374,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2016-07-07T11:43:13+00:00,False,,52.606221,1.724903,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T12:30:48+00:00,True,,52.742840,0.381828,Male,over 34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Offender cautioned,True,False
Person search,2016-07-07T12:58:30+00:00,True,,52.623331,1.298389,Male,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
Person search,2016-07-07T12:58:44+00:00,True,,52.623331,1.298389,Female,over 34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
Person search,2016-07-07T12:58:46+00:00,True,,52.620916,1.301148,Female,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
Person search,2016-07-07T13:30:27+00:00,False,,52.754258,0.397982,Male,25-34,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-07T15:29:14+00:00,True,,52.439136,1.281042,Male,18-24,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T16:30:23+00:00,False,,52.748251,0.403786,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T16:45:10+00:00,False,,52.751576,0.404740,Female,10-17,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T16:45:17+00:00,False,,52.751576,0.404740,Male,18-24,White - White British (W1),White,Firearms Act 1968 (section 47),,Nothing found - no further action,False,False
Person search,2016-07-07T16:45:36+00:00,False,,52.751576,0.404740,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Offender given drugs possession warning,True,False
Person search,2016-07-07T16:55:27+00:00,True,,52.688409,0.210855,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T16:55:46+00:00,True,,52.688409,0.210855,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T17:01:27+00:00,False,,52.746749,0.384174,Other,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-07T17:05:06+00:00,True,,52.688409,0.210855,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,True,False
Person search,2016-07-07T18:30:26+00:00,True,,52.601143,0.376317,Male,18-24,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-07T20:00:14+00:00,True,,52.606221,1.724903,Male,18-24,White - White British (W1),White,Firearms Act 1968 (section 47),,Nothing found - no further action,False,False
Person search,2016-07-07T22:50:56+00:00,False,,52.512553,1.015519,Male,10-17,White - White British (W1),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-08T01:30:57+00:00,False,,52.605501,1.736056,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-08T13:43:55+00:00,False,,52.641420,1.287938,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-08T15:30:49+00:00,False,,52.753255,0.395985,Female,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-08T15:35:31+00:00,False,,52.641788,1.286354,Male,18-24,White - Any other White ethnic background (W9),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-08T15:40:26+00:00,False,,52.641788,1.286354,Male,25-34,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,,False,False
Person search,2016-07-08T16:10:49+00:00,True,,52.605603,1.732799,Male,over 34,White - Any other White ethnic background (W9),White,Police and Criminal Evidence Act 1984 (section 1),,Nothing found - no further action,False,False
Person search,2016-07-08T20:50:14+00:00,False,,52.646997,1.298899,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-08T22:20:07+00:00,False,,52.852842,0.916778,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Nothing found - no further action,False,False
Person search,2016-07-09T01:20:47+00:00,False,,52.628217,1.304757,Male,18-24,White - White British (W1),White,Misuse of Drugs Act 1971 (section 23),,Suspect arrested,True,False
