Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-09-01T00:30:00+00:00,False,,,,Female,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-01T02:20:00+00:00,False,,51.338147,-0.516948,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-01T03:00:00+00:00,False,,51.400626,-0.361018,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-01T13:58:00+00:00,False,,51.237268,-0.577680,Male,25-34,White - White British (W1),White,,,Suspect arrested,True,
Person search,2016-09-01T14:30:00+00:00,False,,,,Male,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-01T14:30:00+00:00,False,,,,Male,over 34,White - White British (W1),White,,,Article found - Detailed outcome unavailable,False,
Person search,2016-09-01T18:22:00+00:00,False,,51.237691,-0.568098,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,,,Nothing found - no further action,,
Person search,2016-09-01T18:31:00+00:00,False,,51.239534,-0.568083,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),Asian,,,Nothing found - no further action,,
Person search,2016-09-01T18:31:00+00:00,False,,51.239502,-0.567655,Male,18-24,Not Stated (NS),Asian,,,Nothing found - no further action,,
Person search,2016-09-01T21:30:00+00:00,False,,51.307809,-0.302605,Male,18-24,White - White British (W1),White,,,Suspect arrested,True,
Person search,2016-09-01T22:50:00+00:00,False,,51.424762,-0.448988,Male,25-34,Not Stated (NS),White,,,Nothing found - no further action,,
Person search,2016-09-01T22:50:00+00:00,False,,51.430968,-0.498077,Male,25-34,White - White British (W1),White,,,Offender given drugs possession warning,True,
Person search,2016-09-02T02:04:00+00:00,False,,51.370890,-0.423412,Male,18-24,Black or Black British - Caribbean (B1),Black,,,Nothing found - no further action,,
Person search,2016-09-02T02:10:00+00:00,False,,51.392604,-0.409255,Male,10-17,Black or Black British - Caribbean (B1),Black,,,Nothing found - no further action,,
Person search,2016-09-02T15:20:00+00:00,False,,51.342488,-0.267812,Male,,Mixed - Any other Mixed ethnic background (M9),Black,,,Suspect arrested,True,
Person search,2016-09-02T16:25:00+00:00,False,,51.345381,-0.271293,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,,,Nothing found - no further action,,
Person search,2016-09-02T16:58:00+00:00,False,,51.346809,-0.271785,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-02T22:33:00+00:00,False,,51.337889,-0.514315,Male,25-34,Not Stated (NS),Asian,,,Suspect arrested,False,
Person search,2016-09-03T01:40:00+00:00,False,,51.337383,-0.533439,Male,over 34,White - White British (W1),White,,,Suspect arrested,False,
Person search,2016-09-03T11:20:00+00:00,False,,51.346902,-0.261672,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-03T22:45:00+00:00,False,,,,Male,25-34,White - White British (W1),White,,,Offender given drugs possession warning,False,
Person search,2016-09-04T00:16:00+00:00,False,,51.236542,-0.572703,Male,over 34,Black or Black British - African (B2),Black,,Offensive weapons,Nothing found - no further action,,
Person search,2016-09-04T10:29:00+00:00,False,,51.303849,-0.657005,Male,18-24,Black or Black British - African (B2),Black,,,Nothing found - no further action,,
Person search,2016-09-04T10:34:00+00:00,False,,51.303849,-0.657005,Male,18-24,Mixed - White and Black Caribbean (M1),Black,,,Nothing found - no further action,,
Person search,2016-09-04T14:04:00+00:00,False,,51.238213,-0.573281,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T14:05:00+00:00,False,,51.238213,-0.573281,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:00:00+00:00,False,,51.186381,-0.613030,Female,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:13:00+00:00,False,,51.186381,-0.613030,Female,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:14:00+00:00,False,,51.187043,-0.610492,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:14:00+00:00,False,,51.187043,-0.610492,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:14:00+00:00,False,,51.187043,-0.610492,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:14:00+00:00,False,,51.187043,-0.610492,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T16:16:00+00:00,False,,51.186381,-0.613030,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Vehicle search,2016-09-04T16:48:00+00:00,False,,51.382088,-0.515183,,,,,,,Suspect arrested,False,
Person search,2016-09-04T21:41:00+00:00,False,,,,Male,over 34,Asian or Asian British - Any other Asian ethnic background (A9),Asian,,Offensive weapons,Suspect arrested,False,
Person search,2016-09-04T22:20:00+00:00,False,,51.433789,-0.516213,Female,18-24,White - White British (W1),White,,,Offender given drugs possession warning,True,
Person search,2016-09-04T22:30:00+00:00,False,,51.252601,-0.170537,Male,25-34,Not Stated (NS),Black,,,Offender given drugs possession warning,True,
Person search,2016-09-04T23:30:00+00:00,False,,51.327463,-0.234217,Male,10-17,White - White British (W1),White,,,Suspect summonsed to court,False,
Person search,2016-09-04T23:30:00+00:00,False,,51.327463,-0.234217,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-04T23:30:00+00:00,False,,51.327463,-0.234217,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-05T02:00:00+00:00,False,,51.194734,-0.786049,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-05T02:15:00+00:00,False,,51.173171,-0.793110,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-05T20:19:00+00:00,False,,51.347020,-0.725370,Female,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-05T20:19:00+00:00,False,,51.347020,-0.725370,Female,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-05T23:20:00+00:00,False,,51.236171,-0.577656,Male,18-24,White - White British (W1),White,,,Offender given drugs possession warning,True,
Person search,2016-09-06T00:17:00+00:00,False,,51.340473,-0.203279,Male,25-34,Not Stated (NS),Black,,,Suspect arrested,True,
Person search,2016-09-06T02:00:00+00:00,False,,51.307689,-0.560124,Male,18-24,White - White British (W1),White,,,Suspect arrested,True,
Person search,2016-09-06T10:24:00+00:00,False,,51.238132,-0.168819,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-06T10:28:00+00:00,False,,51.235002,-0.160749,Male,10-17,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-06T18:55:00+00:00,False,,51.314175,-0.500144,Male,25-34,White - White British (W1),White,,,Suspect summonsed to court,True,
Person search,2016-09-06T18:55:00+00:00,False,,51.314175,-0.500144,Male,25-34,White - White British (W1),White,,,Suspect summonsed to court,True,
Person search,2016-09-07T04:51:00+00:00,False,,51.292178,-0.338162,Male,over 34,White - White British (W1),White,,,Nothing found - no further action,,
Vehicle search,2016-09-07T13:26:00+00:00,False,,51.319966,-0.555219,,,,,,Firearms,Nothing found - no further action,,
Person search,2016-09-07T17:30:00+00:00,False,,51.434424,-0.505373,Female,over 34,Not Stated (NS),Other,,,Nothing found - no further action,,
Person search,2016-09-08T00:45:00+00:00,False,,51.180577,-0.163646,Male,over 34,Mixed - Any other Mixed ethnic background (M9),Other,,,Nothing found - no further action,,
Person search,2016-09-09T10:10:00+00:00,False,,51.223367,-0.586729,Male,over 34,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,
Person search,2016-09-09T22:00:00+00:00,False,,51.238437,-0.578403,Male,18-24,White - White British (W1),White,,Offensive weapons,Nothing found - no further action,,
Person search,2016-09-09T22:20:00+00:00,False,,51.235757,-0.573228,Male,18-24,Mixed - White and Asian (M3),Asian,,,Nothing found - no further action,,
Person search,2016-09-09T22:24:00+00:00,False,,51.236238,-0.572898,Male,18-24,Mixed - White and Asian (M3),Asian,,,Nothing found - no further action,,
Person search,2016-09-09T23:33:00+00:00,False,,51.237995,-0.580508,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-09T23:49:00+00:00,False,,51.333694,-0.269105,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-10T00:04:00+00:00,False,,51.333403,-0.267006,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-10T00:08:00+00:00,False,,51.333056,-0.267292,Male,18-24,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-10T00:35:00+00:00,False,,51.347283,-0.724688,Male,25-34,White - White British (W1),White,,,Nothing found - no further action,,
Person search,2016-09-10T00:45:00+00:00,False,,51.347338,-0.723150,Male,25-34,Not Stated (NS),White,,,Nothing found - no further action,,
Person search,2016-09-10T03:05:00+00:00,False,,51.338163,-0.268449,Male,10-17,Not Stated (NS),Other,,,Nothing found - no further action,,
Person search,2016-09-10T05:05:00+00:00,False,,51.308997,-0.079151,Male,over 34,White - White Irish (W2),White,,,Nothing found - no further action,,
Person search,2016-09-10T18:19:00+00:00,False,,51.254702,-0.573760,Male,25-34,Asian or Asian British - Bangladeshi (A3),Asian,,,Nothing found - no further action,,
