Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-10-01T00:10:00+00:00,,,54.402386,-1.736355,Male,18-24,White - White British (W1),White,,Offensive weapons,,,
Person search,2016-10-01T03:10:00+00:00,,,53.993040,-1.535108,Male,18-24,White - White British (W1),White,,Controlled drugs,Suspect arrested,True,
Person search,2016-10-01T20:10:00+00:00,,,54.337515,-1.440290,Male,18-24,White - White British (W1),White,,Controlled drugs,,,
Person and Vehicle search,2016-10-01T21:10:00+00:00,,,54.475995,-1.182537,Male,18-24,White - White British (W1),White,,Stolen goods,Suspect arrested,True,
Person and Vehicle search,2016-10-01T21:10:00+00:00,,,54.475995,-1.182537,Male,18-24,White - White British (W1),White,,Stolen goods,Suspect arrested,True,
Person and Vehicle search,2016-10-01T21:10:00+00:00,,,53.847935,-1.393152,Male,25-34,White - White British (W1),White,,Controlled drugs,,,
Person search,2016-10-01T22:10:00+00:00,,,53.975037,-1.087887,Male,25-34,White - White British (W1),White,,Offensive weapons,Suspect arrested,,
Person and Vehicle search,2016-10-01T22:10:00+00:00,,,53.710938,-1.273524,Male,over 34,White - White British (W1),White,,Controlled drugs,,,
Person and Vehicle search,2016-10-01T22:10:00+00:00,,,53.710938,-1.273524,Male,25-34,White - White British (W1),White,,Controlled drugs,,,
Vehicle search,2016-10-01T23:10:00+00:00,,,53.947659,-1.071358,,over 34,,,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-10-01T23:10:00+00:00,,,53.999119,-1.444807,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2016-10-02T13:10:00+00:00,,,53.978599,-1.063641,Female,10-17,White - White British (W1),White,,Controlled drugs,,,
Person search,2016-10-02T13:10:00+00:00,,,54.006108,-1.539814,Male,10-17,,,,Offensive weapons,,,
Person search,2016-10-02T15:10:00+00:00,,,53.959981,-2.019213,Male,over 34,White - White British (W1),White,,Stolen goods,,,
Person search,2016-10-02T15:10:00+00:00,,,53.959981,-2.019213,Male,over 34,White - White British (W1),White,,Stolen goods,,,
Person search,2016-10-02T16:10:00+00:00,,,53.962625,-1.085582,Female,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-10-03T11:10:00+00:00,,,54.324694,-1.861175,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-10-03T11:10:00+00:00,,,54.324694,-1.861175,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-10-03T11:10:00+00:00,,,54.324694,-1.861175,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-10-03T11:10:00+00:00,,,54.381480,-1.929728,,over 34,,,,Firearms,Nothing found - no further action,,
Person search,2016-10-03T12:10:00+00:00,,,53.956732,-1.085924,Male,over 34,White - White British (W1),White,,Article for use in theft,,,
Person search,2016-10-03T13:10:00+00:00,,,53.977006,-1.086731,Male,10-17,White - White British (W1),White,,Controlled drugs,,,
Person and Vehicle search,2016-10-03T16:10:00+00:00,,,53.958243,-1.145969,Male,25-34,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-10-03T16:10:00+00:00,,,53.958243,-1.145969,Male,18-24,White - White British (W1),White,,Controlled drugs,Nothing found - no further action,,
Person search,2016-10-03T19:10:00+00:00,,,54.209350,-0.287936,Male,over 34,White - White British (W1),White,,Offensive weapons,,,
