Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2017-12-01T00:30:00+00:00,True,,51.450614,-0.978350,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,True
Person search,2017-12-01T00:30:00+00:00,False,,51.748309,-1.256172,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,True
Person and Vehicle search,2017-12-01T00:30:00+00:00,False,,51.501601,-0.761231,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-12-02T00:30:00+00:00,False,,51.395890,-1.331454,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person search,2017-12-02T00:30:00+00:00,False,,51.629702,-0.737128,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person search,2017-12-02T00:30:00+00:00,False,,51.726710,-1.223906,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person and Vehicle search,2017-12-02T00:30:00+00:00,False,,51.628712,-0.751329,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-12-02T00:30:00+00:00,False,,51.719112,-0.836046,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person and Vehicle search,2017-12-03T00:30:00+00:00,False,,51.629702,-0.737128,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person and Vehicle search,2017-12-04T00:30:00+00:00,False,,51.734466,-1.213898,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person and Vehicle search,2017-12-04T00:30:00+00:00,False,,51.734466,-1.213898,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person and Vehicle search,2017-12-04T00:30:00+00:00,False,,51.438269,-0.971288,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-12-04T00:30:00+00:00,False,,51.400439,-1.320362,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-12-04T00:30:00+00:00,False,,51.520044,-0.599085,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person and Vehicle search,2017-12-04T00:30:00+00:00,False,,51.520044,-0.599085,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person and Vehicle search,2017-12-04T00:30:00+00:00,False,,52.040404,-0.735283,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person search,2017-12-06T00:30:00+00:00,False,,51.627520,-0.749093,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-12-06T00:30:00+00:00,False,,51.627520,-0.749093,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-12-06T00:30:00+00:00,False,,51.627520,-0.749093,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-12-06T00:30:00+00:00,False,,51.630009,-0.751466,,,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2017-12-06T00:30:00+00:00,False,,51.630884,-0.753436,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,,False
Person and Vehicle search,2017-12-07T00:30:00+00:00,False,,51.627520,-0.749093,,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person and Vehicle search,2017-12-07T00:30:00+00:00,False,,,,Male,25-34,Other ethnic group - Not stated,White,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2017-12-07T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2017-12-07T00:30:00+00:00,False,,51.627520,-0.749093,,over 34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2017-12-08T00:30:00+00:00,False,,51.630460,-0.752523,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Article found - Detailed outcome unavailable,,False
Person search,2017-12-08T00:30:00+00:00,False,,51.452779,-0.958714,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-12-08T00:30:00+00:00,False,,51.414517,-0.967766,Male,over 34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person and Vehicle search,2017-12-08T00:30:00+00:00,False,,51.514554,-0.525263,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person and Vehicle search,2017-12-08T00:30:00+00:00,False,,51.402024,-1.274293,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender cautioned,True,False
Vehicle search,2017-12-09T00:30:00+00:00,False,,,,,,,,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,Black,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2017-12-09T00:30:00+00:00,False,,51.627520,-0.749093,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,True
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,25-34,Other ethnic group - Not stated,Other,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,25-34,Other ethnic group - Not stated,Asian,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Nothing found - no further action,,
Person search,2017-12-09T00:30:00+00:00,False,,51.627520,-0.749093,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,True
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - African,Black,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Female,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,Black,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2017-12-09T00:30:00+00:00,False,,,,Male,25-34,Other ethnic group - Not stated,White,,Controlled drugs,Suspect arrested,True,
Person search,2017-12-09T00:30:00+00:00,False,,52.040209,-0.766140,Male,under 10,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2017-12-10T00:30:00+00:00,False,,52.025623,-0.756528,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,White - Any other White background,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,White,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,18-24,Asian/Asian British - Any other Asian background,White,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2017-12-10T00:30:00+00:00,False,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Suspect arrested,True,
Person and Vehicle search,2017-12-11T00:30:00+00:00,False,,,,Male,25-34,Other ethnic group - Not stated,White,,Article for use in theft,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-11T00:30:00+00:00,False,,,,Male,25-34,Other ethnic group - Not stated,White,,Article for use in theft,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-11T00:30:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2017-12-11T00:30:00+00:00,False,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Article found - Detailed outcome unavailable,,
